2024-06-29T20:13:25.202-local:[INFO]: Started subtask
2024-06-29T20:13:25.464-local:[INFO]: tcin: 47868632
2024-06-29T20:13:25.674-local:[INFO]: tcin: 13234505
2024-06-29T20:13:25.680-local:[INFO]: tcin: 26398567
2024-06-29T20:13:25.686-local:[INFO]: tcin: 13234506
2024-06-29T20:13:25.691-local:[INFO]: tcin: 13459031
2024-06-29T20:13:25.699-local:[INFO]: tcin: 13505877
2024-06-29T20:13:25.703-local:[INFO]: tcin: 82397108
2024-06-29T20:13:25.709-local:[INFO]: tcin: 86800703
2024-06-29T20:13:25.717-local:[INFO]: tcin: 88063605
2024-06-29T20:13:25.726-local:[INFO]: tcin: 14931971
2024-06-29T20:13:25.734-local:[INFO]: tcin: 13459032
2024-06-29T20:13:25.740-local:[INFO]: tcin: 13234508
2024-06-29T20:13:25.744-local:[INFO]: tcin: 13469341
2024-06-29T20:13:25.749-local:[INFO]: tcin: 13505878
2024-06-29T20:13:25.752-local:[INFO]: tcin: 26397716
2024-06-29T20:13:25.758-local:[INFO]: tcin: 13291617
2024-06-29T20:13:25.762-local:[INFO]: tcin: 50427809
2024-06-29T20:13:25.767-local:[INFO]: tcin: 13329510
2024-06-29T20:13:25.770-local:[INFO]: tcin: 88063608
2024-06-29T20:13:25.773-local:[INFO]: tcin: 13291577
2024-06-29T20:13:26.278-local:[INFO]: tcin: 13369394
2024-06-29T20:13:26.408-local:[INFO]: tcin: 13192275
2024-06-29T20:13:26.626-local:[INFO]: tcin: 53279419
2024-06-29T20:13:26.660-local:[INFO]: tcin: 13428577
2024-06-29T20:13:26.686-local:[INFO]: tcin: 84244078
2024-06-29T20:13:26.709-local:[INFO]: tcin: 14972023
2024-06-29T20:13:26.794-local:[INFO]: tcin: 17004543
2024-06-29T20:13:26.826-local:[INFO]: tcin: 16710634
2024-06-29T20:13:26.827-local:[INFO]: tcin: 13234507
2024-06-29T20:13:26.888-local:[INFO]: tcin: 13192334
2024-06-29T20:13:27.023-local:[INFO]: tcin: 13393476
2024-06-29T20:13:27.062-local:[INFO]: tcin: 51972481
2024-06-29T20:13:27.064-local:[INFO]: tcin: 17129693
2024-06-29T20:13:27.151-local:[INFO]: tcin: 51845849
2024-06-29T20:13:27.186-local:[INFO]: tcin: 14793370
2024-06-29T20:13:27.190-local:[INFO]: tcin: 51972499
2024-06-29T20:13:27.277-local:[INFO]: tcin: 13374241
2024-06-29T20:13:27.329-local:[INFO]: tcin: 50427821
2024-06-29T20:13:27.361-local:[INFO]: tcin: 13192280
2024-06-29T20:13:27.377-local:[INFO]: tcin: 52024021
2024-06-29T20:13:27.381-local:[INFO]: tcin: 81314896
2024-06-29T20:13:27.382-local:[INFO]: tcin: 13291576
2024-06-29T20:13:27.438-local:[INFO]: tcin: 49121428
2024-06-29T20:13:27.546-local:[INFO]: tcin: 13429166
2024-06-29T20:13:27.580-local:[INFO]: tcin: 18786816
2024-06-29T20:13:27.586-local:[INFO]: tcin: 13409340
2024-06-29T20:13:27.602-local:[INFO]: tcin: 14757532
2024-06-29T20:13:27.623-local:[INFO]: tcin: 14793377
2024-06-29T20:13:27.626-local:[INFO]: tcin: 78617640
2024-06-29T20:13:27.723-local:[INFO]: tcin: 81624966
2024-06-29T20:13:27.810-local:[INFO]: tcin: 13291399
2024-06-29T20:13:27.828-local:[INFO]: tcin: 88327495
2024-06-29T20:13:27.933-local:[INFO]: tcin: 13369390
2024-06-29T20:13:28.028-local:[INFO]: tcin: 15295133
2024-06-29T20:13:28.042-local:[INFO]: tcin: 13192153
2024-06-29T20:13:28.059-local:[INFO]: tcin: 49121436
2024-06-29T20:13:28.151-local:[INFO]: tcin: 82397107
2024-06-29T20:13:28.290-local:[INFO]: tcin: 14760220
2024-06-29T20:13:28.315-local:[INFO]: tcin: 14760222
2024-06-29T20:13:28.351-local:[INFO]: tcin: 13505879
2024-06-29T20:13:28.433-local:[INFO]: tcin: 13192154
2024-06-29T20:13:28.464-local:[INFO]: tcin: 13409101
2024-06-29T20:13:28.538-local:[INFO]: tcin: 54308659
2024-06-29T20:13:28.554-local:[INFO]: tcin: 84728627
2024-06-29T20:13:28.570-local:[INFO]: tcin: 23974768
2024-06-29T20:13:28.663-local:[INFO]: tcin: 14786821
2024-06-29T20:13:28.708-local:[INFO]: tcin: 14760807
2024-06-29T20:13:28.800-local:[INFO]: tcin: 13409451
2024-06-29T20:13:28.801-local:[INFO]: tcin: 87497084
2024-06-29T20:13:28.803-local:[INFO]: tcin: 12935958
2024-06-29T20:13:28.845-local:[INFO]: tcin: 85776283
2024-06-29T20:13:28.894-local:[INFO]: tcin: 15314672
2024-06-29T20:13:28.908-local:[INFO]: tcin: 81624968
2024-06-29T20:13:28.937-local:[INFO]: tcin: 51810858
2024-06-29T20:13:28.988-local:[INFO]: tcin: 54284861
2024-06-29T20:13:29.159-local:[INFO]: tcin: 13192148
2024-06-29T20:13:29.268-local:[INFO]: tcin: 13391160
2024-06-29T20:13:29.313-local:[INFO]: tcin: 84728629
2024-06-29T20:13:29.390-local:[INFO]: tcin: 12936149
2024-06-29T20:13:29.437-local:[INFO]: tcin: 50386287
2024-06-29T20:13:29.439-local:[INFO]: tcin: 89086391
2024-06-29T20:13:29.531-local:[INFO]: tcin: 13369212
