2024-06-30T12:30:36.950-local:[INFO]: Started subtask
2024-06-30T12:30:37.085-local:[INFO]: tcin: 47868632
2024-06-30T12:30:37.303-local:[INFO]: tcin: 13234505
2024-06-30T12:30:37.308-local:[INFO]: tcin: 26398567
2024-06-30T12:30:37.311-local:[INFO]: tcin: 13234506
2024-06-30T12:30:37.314-local:[INFO]: tcin: 13459031
2024-06-30T12:30:37.316-local:[INFO]: tcin: 13505877
2024-06-30T12:30:37.319-local:[INFO]: tcin: 82397108
2024-06-30T12:30:37.322-local:[INFO]: tcin: 86800703
2024-06-30T12:30:37.329-local:[INFO]: tcin: 88063605
2024-06-30T12:30:37.338-local:[INFO]: tcin: 14931971
2024-06-30T12:30:37.345-local:[INFO]: tcin: 13459032
2024-06-30T12:30:37.352-local:[INFO]: tcin: 13234508
2024-06-30T12:30:37.357-local:[INFO]: tcin: 13469341
2024-06-30T12:30:37.360-local:[INFO]: tcin: 13505878
2024-06-30T12:30:37.363-local:[INFO]: tcin: 26397716
2024-06-30T12:30:37.367-local:[INFO]: tcin: 13291617
2024-06-30T12:30:37.372-local:[INFO]: tcin: 50427809
2024-06-30T12:30:37.375-local:[INFO]: tcin: 13329510
2024-06-30T12:30:37.378-local:[INFO]: tcin: 88063608
2024-06-30T12:30:37.381-local:[INFO]: tcin: 13291577
2024-06-30T12:30:37.765-local:[INFO]: tcin: 13369394
2024-06-30T12:30:38.053-local:[INFO]: tcin: 13192275
2024-06-30T12:30:38.177-local:[INFO]: tcin: 53279419
2024-06-30T12:30:38.321-local:[INFO]: tcin: 13428577
2024-06-30T12:30:38.420-local:[INFO]: tcin: 84244078
2024-06-30T12:30:38.461-local:[INFO]: tcin: 14972023
2024-06-30T12:30:38.485-local:[INFO]: tcin: 17004543
2024-06-30T12:30:38.487-local:[INFO]: tcin: 16710634
2024-06-30T12:30:38.590-local:[INFO]: tcin: 13234507
2024-06-30T12:30:38.716-local:[INFO]: tcin: 13192334
2024-06-30T12:30:38.719-local:[INFO]: tcin: 13393476
2024-06-30T12:30:38.732-local:[INFO]: tcin: 51972481
2024-06-30T12:30:38.735-local:[INFO]: tcin: 17129693
2024-06-30T12:30:38.965-local:[INFO]: tcin: 51845849
2024-06-30T12:30:39.013-local:[INFO]: tcin: 14793370
2024-06-30T12:30:39.029-local:[INFO]: tcin: 51972499
2024-06-30T12:30:39.031-local:[INFO]: tcin: 13374241
2024-06-30T12:30:39.047-local:[INFO]: tcin: 50427821
2024-06-30T12:30:39.184-local:[INFO]: tcin: 13192280
2024-06-30T12:30:39.214-local:[INFO]: tcin: 52024021
2024-06-30T12:30:39.217-local:[INFO]: tcin: 81314896
2024-06-30T12:30:39.220-local:[INFO]: tcin: 13291576
2024-06-30T12:30:39.251-local:[INFO]: tcin: 49121428
2024-06-30T12:30:39.365-local:[INFO]: tcin: 13429166
2024-06-30T12:30:39.405-local:[INFO]: tcin: 18786816
2024-06-30T12:30:39.409-local:[INFO]: tcin: 13409340
2024-06-30T12:30:39.533-local:[INFO]: tcin: 14757532
2024-06-30T12:30:39.690-local:[INFO]: tcin: 14793377
2024-06-30T12:30:39.699-local:[INFO]: tcin: 78617640
2024-06-30T12:30:39.769-local:[INFO]: tcin: 81624966
2024-06-30T12:30:39.970-local:[INFO]: tcin: 13291399
2024-06-30T12:30:40.009-local:[INFO]: tcin: 88327495
2024-06-30T12:30:40.050-local:[INFO]: tcin: 13369390
2024-06-30T12:30:40.086-local:[INFO]: tcin: 15295133
2024-06-30T12:30:40.097-local:[INFO]: tcin: 13192153
2024-06-30T12:30:40.147-local:[INFO]: tcin: 49121436
2024-06-30T12:30:40.165-local:[INFO]: tcin: 82397107
2024-06-30T12:30:40.168-local:[INFO]: tcin: 14760220
2024-06-30T12:30:40.188-local:[INFO]: tcin: 14760222
2024-06-30T12:30:40.262-local:[INFO]: tcin: 13505879
2024-06-30T12:30:40.389-local:[INFO]: tcin: 13192154
2024-06-30T12:30:40.497-local:[INFO]: tcin: 13409101
2024-06-30T12:30:40.530-local:[INFO]: tcin: 54308659
2024-06-30T12:30:40.643-local:[INFO]: tcin: 84728627
2024-06-30T12:30:40.678-local:[INFO]: tcin: 23974768
2024-06-30T12:30:40.716-local:[INFO]: tcin: 14786821
2024-06-30T12:30:40.729-local:[INFO]: tcin: 14760807
2024-06-30T12:30:40.746-local:[INFO]: tcin: 13409451
2024-06-30T12:30:40.759-local:[INFO]: tcin: 87497084
2024-06-30T12:30:40.955-local:[INFO]: tcin: 12935958
2024-06-30T12:30:40.957-local:[INFO]: tcin: 85776283
2024-06-30T12:30:41.005-local:[INFO]: tcin: 15314672
2024-06-30T12:30:41.024-local:[INFO]: tcin: 81624968
2024-06-30T12:30:41.138-local:[INFO]: tcin: 51810858
2024-06-30T12:30:41.191-local:[INFO]: tcin: 54284861
2024-06-30T12:30:41.210-local:[INFO]: tcin: 13192148
2024-06-30T12:30:41.222-local:[INFO]: tcin: 13391160
2024-06-30T12:30:41.348-local:[INFO]: tcin: 84728629
2024-06-30T12:30:41.441-local:[INFO]: tcin: 12936149
2024-06-30T12:30:41.443-local:[INFO]: tcin: 50386287
2024-06-30T12:30:41.469-local:[INFO]: tcin: 89086391
2024-06-30T12:30:41.475-local:[INFO]: tcin: 13369212
2024-06-30T12:30:41.477-local:[INFO]: tcin: 78634480
2024-06-30T12:30:41.523-local:[INFO]: tcin: 13291619
2024-06-30T12:30:41.580-local:[INFO]: tcin: 81919690
2024-06-30T12:30:41.624-local:[INFO]: tcin: 78594169
2024-06-30T12:30:41.733-local:[INFO]: tcin: 86855256
2024-06-30T12:30:41.758-local:[INFO]: tcin: 12935701
2024-06-30T12:30:41.866-local:[INFO]: tcin: 81035605
2024-06-30T12:30:41.881-local:[INFO]: tcin: 87496772
2024-06-30T12:30:41.883-local:[INFO]: tcin: 81187291
2024-06-30T12:30:41.930-local:[INFO]: tcin: 78653256
2024-06-30T12:30:41.971-local:[INFO]: tcin: 14789126
2024-06-30T12:30:42.036-local:[INFO]: tcin: 53470652
2024-06-30T12:30:42.147-local:[INFO]: tcin: 81624953
2024-06-30T12:30:42.164-local:[INFO]: tcin: 15646372
2024-06-30T12:30:42.186-local:[INFO]: tcin: 87497085
2024-06-30T12:30:42.241-local:[INFO]: tcin: 13192273
2024-06-30T12:30:42.346-local:[INFO]: tcin: 78617652
2024-06-30T12:30:42.440-local:[INFO]: tcin: 88327499
2024-06-30T12:30:42.479-local:[INFO]: tcin: 52024017
2024-06-30T12:30:42.480-local:[INFO]: tcin: 16710629
2024-06-30T12:30:42.567-local:[INFO]: tcin: 16289709
2024-06-30T12:30:42.635-local:[INFO]: tcin: 13459026
2024-06-30T12:30:42.674-local:[INFO]: tcin: 14760219
2024-06-30T12:30:42.688-local:[INFO]: tcin: 78648064
2024-06-30T12:30:42.781-local:[INFO]: tcin: 13459030
2024-06-30T12:30:42.812-local:[INFO]: tcin: 13369396
2024-06-30T12:30:42.833-local:[INFO]: tcin: 79702186
2024-06-30T12:30:42.953-local:[INFO]: tcin: 54284897
2024-06-30T12:30:43.097-local:[INFO]: tcin: 77460609
2024-06-30T12:30:43.162-local:[INFO]: tcin: 80221007
2024-06-30T12:30:43.179-local:[INFO]: tcin: 14786853
2024-06-30T12:30:43.193-local:[INFO]: tcin: 84310695
